Title,Subtitle,Description
Apple Pay,"Digital wallets, Cards",Apple Pay is the digital wallet of choice for millions of iOS users
Mastercard,Cards,Mastercard is a market leading card scheme worldwide
Visa,Cards,Visa is one of world's largest global card networks
American Express (AMEX),Cards,American Express is a key credit card around the world
Cash App Pay,Digital wallets,Cash App Pay is a wallet-based payment methods
Google Pay™️,"Digital wallets, Cards",Google Pay™️ lets millions of people add payment cards to their Google Accounts
Affirm,Buy now pay later,"Affirm offers buy now, pay later to millions of shoppers in North America"
PayPal,Digital wallets,"PayPal is a major digital wallet, with over 300 million active consumers"
Discover,Cards,Discover card boasts some of the highest authorization rates among US retailers
WeChat Pay,Digital wallets,WeChat Pay is a vital payment method for businesses wishing to reach the Chinese market
Klarna,Buy now pay later,"Klarna is the largest provider of buy now, pay later services in the world"
Diners,Cards,Diners Club credit cards are accepted in over 185 countries
ACH Direct Debit,Direct debit,ACH Direct Debit is a cost-effective alternative to credit and debit cards in the US
Maestro,Cards,Maestro is a debit product within the Mastercard offering
Afterpay & Clearpay,Buy now pay later,"Afterpay is Australia's leading buy now, pay later payment method"
Alipay,Digital wallets,Alipay is a hugely popular Chinese digital wallet with 800 million active users
Ratepay,Buy now pay later,An open invoice and secured direct debit provider
Bancontact,Cards,Bancontact is Belgium's most popular payment method
KNET,Cards,KNET is the dominant card-based payment method in Kuwait
GoPay,Digital wallets,GoPay is a major digital wallet in Indonesia with over 38 million monthly active users
PayCo,Digital wallets,PayCo is a digital wallet used in South Korea
UnionPay,"Vouchers, prepaid and giftcards, Cards",UnionPay is the world's biggest card network with 7 billion cards in circulation
PaySafeCard,"Vouchers, prepaid and giftcards",Paysafecard is a prepay solution available in 46 countries
Samsung Pay,"Digital wallets, Cards",Samsung Pay is a payment method owned by Samsung
7-Eleven Malaysia,Cash,7-Eleven convenience stores in Malaysia offer a cash-based payment method
DANA,Digital wallets,DANA is an Indonesian digital wallet with over 30 million users
JCB,Cards,JCB is a major card issuer and acquirer from Japan
Atome,Buy now pay later,Atome is the multi-market BNPL payment method of South East Asia
Interac,"Mobile, Cards",Interac is Canada's local debit network
DOKU Wallet,Digital wallets,"DOKU Wallet is the digital wallet by Indonesian PSP, DOKU"
Multibanco,"Vouchers, prepaid and giftcards",The most popular payment method in Portugal
Convenience stores Indonesia,Cash,Convenience stores Indonesia is a popular cash-based payment method in Indonesia
Sofort (no longer available),Online banking,SOFORT is an online banking payment method in Europe.
Online banking Czech Republic,Online banking,Online banking is the major local payment method used in Czech Republic
TWINT,Mobile,TWINT is the most popular mobile payment method in Switzerland
SEPA Direct Debit,Direct debit,SEPA Direct Debit allows European businesses to process one-off or recurring payments
Alma,Buy now pay later,Alma is a French buy now pay later offering flexible payment options
PayPo,Buy now pay later,"PayPo is the most popular BNPL method in Poland, with over 1 mln active users."
Bizum,Online banking,Bizum is an online banking payment method
Oney,Buy now pay later,French payment method Oney is a popular way to pay in installments
UPI,Real-time payments,"UPI enables fast, secure real-time bank payments across India via mobile apps or QR codes."
Rupay,Cards,"RuPay is India’s domestic card network enabling secure online and in-store payments."
Pay-easy online banking,Online banking,Pay-easy ATM enables merchants to reach shoppers without a bank card
Cartes Bancaires,Cards,Cartes Bancaires is the most widely-used payment method in France
MoMo (digital wallet),Digital wallets,MoMo is the most popular digital wallet in Vietnam
V Pay,Cards,V Pay is a debit product by Visa
Online banking Malaysia,Online banking,Online banking is the second most popular payment method in Malaysia
Billie,Buy now pay later,Specializes in providing open invoice and deferred payment options to B2B shoppers.
DOKU VA,Online banking,DOKU VA is the most popular Indonesian payment method in the market
Trustly,Online banking,Trustly provides online banking in multiple countries
Online banking India,Online banking,We offer online banking as a payment method in India via our partner BillDesk
OXXO,Cash,OXXO is a popular voucher-based payment method in Mexico
Payshop,Cash,Payshop is a popular cash based payment method in Portugal
Boleto,Cash,Boleto is the cash-based payment method used throughout Brazil
Carnet,Cards,"Carnet is a leading brand of Mexican acceptance, with more than 50 years of experience."
Riverty,Buy now pay later,"Riverty, formerly known as AfterPay, is a leading European BNPL provider."
Pay Easy ATM,Cash,Pay Easy ATM enables merchants to reach shoppers without a bank card
コンビニ決済,Cash,Konbini is a Japanese convenience store payment
BankAxept,Cards,BankAxept is a Norwegian local card payment scheme
MobilePay,Digital wallets,MobilePay is a popular digital wallet in Denmark and Finland
Swish,Online banking,Swish is a mobile payment system in Sweden
PayPay,Digital wallets,PayPay is the most widely used QR/Wallet payment service in Japan.
Accel,Cards,Fiserv-owned US Debit card scheme available at POS and online
NYCE,Cards,FIS-owned US Debit card scheme available at POS and online.
STAR,Cards,Fiserv-owned US Debit card scheme available at POS and online
PULSE,Cards,Discover-owned US Debit card scheme available at POS and online.
Zip,Buy now pay later,"Zip is one of the leading 'buy now pay later' services across a number of countries"
PIX,Real-time payments,PIX offers bank transfers and QR code payments online and in-store
EPS,Online banking,EPS is Austria's leading online banking payment method
Elo,Cards,Elo is one of Brazil's major debit and credit card networks
Pay by Bank - US,Online banking,"Pay by Bank - US, powered by Plaid, facilitates direct bank transfers via ACH."
EFT Pre-Authorized Debit,Direct debit,Popular alternative to credit and debit cards in Canada.
Scalapay,Buy now pay later,"Scalapay is one of the leading BNPL in Southern Europe, with over 6.5 mln active customers"
Online banking Finland,Online banking,Online banking accounts for 70% of Finland's digital payments mix
DuitNow,Real-time payments,DuitNow is the online banking option for Malaysia
Touch 'n Go Digital,Digital wallets,Touch 'n Go Digital eWallet is an Malaysian electronic wallet
PromptPay,Real-time payments,PromptPay is the online banking option for Thailand
PayNow,Real-time payments,PayNow is Singapore's real time payment network
Boost Wallet,Digital wallets,Boost in one of the most used wallets in Malaysia
iDEAL,Online banking,iDEAL is a Dutch interbank system for online banking
GrabPay,"Buy now pay later, Digital wallets",GrabPay is a digital wallet available within Southeast Asia's Grab app
Giropay (no longer available),Online banking,"Giropay is an interbank system, introduced by the German banks in 2005"
girocard,Cards,girocard is an interbank network with 100 million cards in circulation
eftpos Australia,Cards,Australia's local debit card scheme available at POS and online
Convenience stores Philippines,Cash,Enable people to walk-in to a branch of our partners to make a payment over-the-counter
Over the counter / ATM Philippines,Cash,Shoppers can pay cash through banks and ATMs
Dankort,Cards,Dankort is a Danish local debit scheme
BENEFIT,Cards,Benefit is the dominant card-based payment method in Bahrain
Walley,Buy now pay later,"Walley is a BuyNow, Pay Later payment method in the Nordic region"
Online banking Slovakia,Online banking,Online banking is the major local payment method used in Slovakia
Meal vouchers,"Vouchers, prepaid and giftcards",Meal vouchers are a type of payment for employees to buy food and beverages
MB WAY,Digital wallets,MB WAY is emerging as a mobile payments leader in Portugal
Korean cards,Cards,This payment method allows merchants to process Korean-issued cards
Alipay+,Digital wallets,Alipay+ is a must-have payment method for any business looking to reach shoppers from Asia
Online banking Thailand,Online banking,Popular payment method in Thailand
Online banking Poland,Online banking,Online banking is the most popular payment method in Poland
PayMe,Digital wallets,PayMe is a Hong Kong wallet by HSBC.
KakaoPay,Digital wallets,KakaoPay is a South Korean digital wallet found within Kakao Talk
Hipercard,Cards,Hipercard is a widely accepted Brazilian card scheme
BACS Direct Debit,Direct debit,BACS direct debits are one of the UKs most familiar payment methods
Gcash,Digital wallets,GCash is the Phillipines' most popular digital wallet
AlipayHK,Digital wallets,AlipayHK is a popular digital wallet in Hong Kong
BLIK,Online banking,BLIK is Poland's dominant mobile payment method
Open banking / PaybyBank,Online banking,Open banking solution for merchants
Vipps,Mobile,Vipps is the dominant mobile payment app in Norway
